movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14
beachbummovie,1.5400547,0.92173713,0.6150557,1.2022637,1.2181317,0.9850497,1.3142401,0.887975,0.6581626,0.0,0.74577785,1.3080138,0.025305841,0.86983496,0.8600857
bernadettefilm,1.9569418,1.4560193,0.51424646,1.6726003,1.7399652,1.2390505,1.4407727,0.5098274,0.48363787,0.0,0.8876661,1.363431,0.032106403,0.8669773,1.3821596
blackandbluemovie,1.7449967,1.308678,0.59978706,0.9509308,1.1957107,0.98972845,0.6230758,0.0,1.5265546,0.0,0.5468571,1.0886816,0.06569399,0.0,1.5639797
blackchristmas,1.4869944,1.2193167,0.8608399,1.4682653,1.3442395,1.379332,1.4575247,0.37325794,0.79775625,0.0,1.003457,1.4695402,0.0,0.86340004,1.4428854
blindedbythelightmovie,1.5152049,0.9851922,0.6355458,1.3273097,1.1818877,1.0342602,1.1230862,0.4510107,0.74025166,0.0,0.7709477,1.111333,0.0,1.0189519,1.0792689
bombshellmovie,0.95600057,0.8044736,0.2614791,0.46630937,0.84219354,0.51146144,0.5223084,0.17193305,0.5213873,0.0,0.28825527,0.9032438,0.29540607,0.5439895,1.0349514
booksmart,0.2889492,0.17401741,0.0,0.015431635,0.3243437,0.3621704,0.34953195,0.0,0.5903977,0.26585406,0.0,0.5243675,0.063572586,0.48393214,0.43691358
breakthroughmovie,1.632475,0.96674085,0.37196827,0.7235232,0.6920414,0.85365963,0.79301184,0.14140263,1.2856001,0.0,0.24649103,1.0338819,0.33646172,0.43771684,1.447561
brianbanksmovie,1.8369807,1.5379174,0.04165113,1.6845835,1.4581189,1.291697,1.2738389,0.61854196,0.038011633,0.0,1.1625898,1.5778581,0.0,0.73071057,1.085764
brightburnmovie,1.743729,1.3528024,0.88202673,1.3893409,1.4185476,1.3667696,1.3506101,0.1692742,1.2554001,0.0,1.0851827,1.2680752,0.01865926,0.7465983,1.6979699
brittanyrunsmov,0.62324446,0.33075315,0.27676052,0.8282568,0.5833861,0.6572015,0.6881801,0.21756041,0.46178326,0.0,0.28893694,0.42574683,0.027575884,0.6209531,0.73067844
captainmarvelofficial,1.6594563,1.2892424,0.2774958,1.0249026,1.3199773,1.2137,0.9128592,0.07545795,0.6731797,0.0,0.47769615,0.99471194,0.073604584,0.57601035,1.326558
captivestatemovie,1.6241564,1.0920553,0.24209838,1.0219223,1.0367314,1.1520714,1.1516112,0.4629478,0.96670586,0.0,0.58612984,1.4354912,0.13245691,0.28676933,1.0489144
catsmovie,0.9032086,0.65286696,0.55383706,1.2275149,1.861644,0.58451056,1.2323294,0.20928758,0.0,0.0,0.80442476,1.3509264,0.0,0.26540983,1.1366767
charliesangels,0.713827,0.9115733,0.89972407,0.50419945,1.1870912,1.0168409,0.7123798,0.06792849,1.234003,0.0,0.40018895,1.0764502,0.25934973,0.19046165,1.2125946
childsplaymovie,1.7405101,0.9135953,0.0,1.1015024,2.2581336,0.01142858,0.0,0.46048915,0.0,0.0,0.1149549,0.71507716,0.90119624,0.46155614,1.2164675
